accountId,currentTier
account.195b006ad6174b768b0bc2e9924ecb5e,No Record
account.0a41d1e735b44b7f97fb2e6defa1a9d3,No Record
account.a00b895b6799485ea728ea9d7fbad571,No Record
account.c78828d4566d40abb9d382bb61e6b5cc,No Record
account.a0dbd97385704521bde961e6d791e03d,No Record
account.e4ba01915ab84b148e1fb4639f23ac8c,No Record
account.98475b7e0b6e42a091a8174fee812abb,No Record
account.cdee3c17821f459bba9df20da9f2a047,No Record
account.6d43057fd515460192222cf93b9ee846,No Record
account.776024995627474abfbf6e5f69d19a82,No Record
account.e786922071cf4f3484cb9e705cad9fa3,No Record
account.5c610111897f455290c49ca91fe07d16,No Record
account.5fcda3a4117c46e1a4df9441297ee1c0,No Record
account.f37a1ec0dfc04e3dba52377352a03fa0,No Record
account.41aa66d5e06745398c865eca60ca2b1f,No Record
account.e544db5e3f4d455686b51695347bc755,No Record
account.ecbc2493d8794e00ad1d27a08af4e230,No Record
account.7eb81ba3d29a4219849a9d308a5b9ff8,No Record
account.fcc0c296534e4ffc8e60344b022ffc86,No Record
account.2e5aa47dffd14f7dbdbd820e5335832d,No Record
account.f604ffe55bd24ffcab624f27b43b805b,No Record
account.228547b4cefe4e10ba446ba3a51f7e07,No Record
account.cb96e1805d7e4603b1064bf851c9df12,No Record
account.94d64e73ebee42aa8fecbbc10c3aae44,No Record
account.09ab3a8fc8834aceab4100e84884fb96,No Record
account.59617d992a7b41c9bfc315f0c00572f9,No Record
account.47a94b48a3a34deda7072b067996f6a6,No Record
account.6ef046acb2194901978d0f83db3e361f,No Record
account.9341921b4a644d1b97c8f54391779e93,No Record
account.4573add76662491e9163fa490d0f1283,No Record
account.43700c1d9b2d4931b416bc1d50a2d37b,No Record
account.4502ab2b132948e087d5b183bca32cf2,No Record
account.e13174588fac4a879a6e1db5b7d85994,No Record
account.24efa5fc68d840bfae13c0df5a67cdab,No Record
account.fb6a04b0783443398c4bd72708925aa2,No Record
account.bbfc7207117945ce897db18d804f7884,No Record
account.74ba67fc414742c896450c6d302b4208,No Record
account.2e2d2c8153d241bc9271d1cdfbc25a45,No Record
account.fc8ec2a1645c42979fdfeb502f72cbaa,No Record
account.23462378679b4a5cb47e6790c967b3ae,No Record
account.af2913e5582446b185f5701b99f1698d,No Record
account.b5717850768c4f5aa227c4564b3585e2,No Record  
account.b99ca1ff7262482e8b2c0aef9230ef88,No Record
account.7d4bbb24bd3946db84560ec88aa5057a,No Record
account.c4e5f95b44b7410fb82d09f3b6843e0d,No Record
account.7bec992d501f44949c59968ccfb31d92,No Record
account.fd789a7ccbd241c1844a7840722c228c,No Record
account.c2db7803bc73470385f6e5cba696d88a,No Record
account.9ed7bc5fb6a2429581e3b8cbd7e1c995,No Record
account.b188279808da42c996b0e855fd5e10a2,No Record
account.499d5477b2ce4bb9a6dc3e4933861fda,No Record
account.e2824630b9c449e1ad54938da08544c2,No Record
account.87ba54ecae6a4a738137bb1153153c70,No Record
account.b6640807c0e646a282ea165d4f58331e,No Record
account.6352cd557aab44fd8dbc93d62d4c30e5,No Record
account.c920406cbc334322a49762758165044a,No Record
account.b19e9039a113434294b042955a69624b,No Record
account.366641dbe4d943818c4ede03f042f93f,No Record
account.45468792302242cb9f54473be960c048,No Record
account.6350d62967854777b03006bd7dcf206d,No Record
