iter	RMSE
0	0.653545135
1	0.6369366551
2	0.6220739839
3	0.6080911663
4	0.5942267643
5	0.5806144421
6	0.5685741703
7	0.5573145795
8	0.5468458406
9	0.5366604168
10	0.5275291106
11	0.5190095968
12	0.5109060773
13	0.5032636141
14	0.4961659266
15	0.4894594012
16	0.4838500715
17	0.4785878333
18	0.4729644385
19	0.4679484617
20	0.4633134582
21	0.4592957102
22	0.4554376619
23	0.4516751841
24	0.4480160172
25	0.4445200432
26	0.4413336484
27	0.4381431951
28	0.4353522997
29	0.4328132359
30	0.4303543501
31	0.4281562054
32	0.4260372553
33	0.4237881596
34	0.4216808076
35	0.419828136
36	0.4179851455
37	0.4162592822
38	0.414637849
39	0.4130416654
40	0.4115508015
41	0.4101432999
42	0.4087420927
43	0.407362501
44	0.406243555
45	0.4051662922
46	0.4041280071
47	0.4032231039
48	0.402436878
49	0.401476534
50	0.4007655453
51	0.3999738624
52	0.399094424
53	0.3983820805
54	0.3977016184
55	0.397040589
56	0.3962982791
57	0.3954802533
58	0.3947435123
59	0.3941985083
60	0.3936967241
61	0.3932660254
62	0.392826481
63	0.3922386017
64	0.3917821037
65	0.3913210375
66	0.3908189245
67	0.3904271444
68	0.3899719626
69	0.3894698421
70	0.3890254229
71	0.3885642746
72	0.3882081969
73	0.3878208435
74	0.3873986374
75	0.3869394311
76	0.3865497107
77	0.3863399847
78	0.3860358901
79	0.3856670488
80	0.3854267927
81	0.3852346777
82	0.3848775164
83	0.3845728515
84	0.3842879205
85	0.3839757074
86	0.3835291314
87	0.3832683308
88	0.3829732476
89	0.3826505295
90	0.3823445343
91	0.382268081
92	0.382068503
93	0.3816891468
94	0.3812846409
95	0.3811318022
96	0.3808082233
97	0.380631534
98	0.3804155719
99	0.3801608343
100	0.3798704204
101	0.3797685527
102	0.3794939329
103	0.3792676609
104	0.378993855
105	0.3788602968
106	0.3788199348
107	0.3786315752
108	0.3784280242
109	0.3782352587
110	0.3780623439
111	0.3778080698
112	0.3775599275
113	0.3772420569
114	0.376987171
115	0.3767647111
116	0.3766721231
117	0.376513502
118	0.3763571801
119	0.3761075086
120	0.3757852581
121	0.3756307879
122	0.3755405372
123	0.3752973989
124	0.3752949754
125	0.3752248134
126	0.3752224739
127	0.3751007293
128	0.374860958
129	0.3746615142
130	0.3745080638
131	0.3744887418
132	0.3742250552
133	0.3741153412
134	0.3740727796
135	0.3740490813
136	0.3740103103
137	0.3737875093
138	0.3735903908
139	0.3735771977
140	0.3735265039
141	0.3734324684
142	0.3733215633
143	0.3731685531
144	0.3729883708
145	0.3727864708
146	0.3726588441
147	0.37255574
148	0.3723728663
149	0.3722010252
150	0.3719955727
151	0.3719764446
152	0.3718287782
153	0.3717182482
154	0.371608405
155	0.3714086942
156	0.3714066313
157	0.3713087614
158	0.3712636696
159	0.3711787474
160	0.3710988568
161	0.371097413
162	0.3709525563
163	0.3708352388
164	0.3705992761
165	0.370347391
166	0.3702466851
167	0.3701305729
168	0.3699460879
169	0.3699447588
170	0.3698065736
171	0.3696503188
172	0.3695952297
173	0.3695670836
174	0.369438368
175	0.3692758847
176	0.3692437925
177	0.369216671
178	0.3691703276
179	0.3691691665
180	0.369044255
181	0.3690270124
182	0.3690258426
183	0.3688329472
184	0.3688141322
185	0.3687844002
186	0.3687313126
187	0.368615649
188	0.3684307664
189	0.3681522284
190	0.3681513047
191	0.368042566
192	0.3680415697
193	0.3679985522
194	0.3679548041
195	0.3679373392
196	0.367936534
197	0.3678115006
198	0.3678107523
199	0.3676249201
200	0.3673701895
201	0.3672739768
202	0.367241309
203	0.3671821611
204	0.3670143385
205	0.3668640877
206	0.3668634275
207	0.3667588536
208	0.3665300562
209	0.3663981512
210	0.3661759106
211	0.366077503
212	0.366063342
213	0.366050421
214	0.3660454153
215	0.3660225665
216	0.3657937733
217	0.3657777543
218	0.3657653057
219	0.3656691233
220	0.36553454
221	0.3654737934
222	0.3654534279
223	0.3653186883
224	0.3652733964
225	0.3652607349
226	0.3650939341
227	0.3650769103
228	0.3650116641
229	0.3649398333
230	0.364932818
231	0.3648818841
232	0.3648595721
233	0.3648406034
234	0.3648294759
235	0.3648146168
236	0.3647415677
237	0.3646218343
238	0.3645979669
239	0.3645567951
240	0.3643521649
241	0.3643358644
242	0.3643199874
243	0.3642500914
244	0.3641939231
245	0.3640616599
246	0.3640462277
247	0.3638922525
248	0.363883757
249	0.3638686041
250	0.3637922932
251	0.363786198
252	0.3636287834
253	0.3635740654
254	0.3633208302
255	0.3633054618
256	0.3632136588
257	0.363108145
258	0.3630276009
259	0.3628822583
260	0.3628143035
261	0.3627295138
262	0.3627019823
263	0.3626806976
264	0.3625918407
265	0.3625077206
266	0.3624258664
267	0.3624172981
268	0.3624138586
269	0.3623076179
270	0.3622651554
271	0.3622226933
272	0.3621210362
273	0.3620820793
274	0.3620259803
275	0.3620170084
276	0.3620147751
277	0.3618044112
278	0.3617664251
279	0.3617639556
280	0.3615757045
281	0.3614924066
282	0.3613633398
283	0.3613540927
284	0.3612609689
285	0.3611242675
286	0.3610972076
287	0.360989481
288	0.3608764649
289	0.3607427605
290	0.360673064
291	0.3606406308
292	0.3605358252
293	0.3604524831
294	0.3604469421
295	0.3603915513
296	0.3603824028
297	0.3602641336
298	0.3601632393
299	0.3600953668
300	0.3600252403
301	0.3599608116
302	0.3598864994
303	0.3597579123
304	0.3596653398
305	0.359599046
306	0.3595548735
307	0.3594743373
308	0.3593430578
309	0.359294232
310	0.359247618
311	0.3591782967
312	0.359098924
313	0.359009103
314	0.3589682227
315	0.3589120849
316	0.3589077345
317	0.3588721157
318	0.3588600408
319	0.3588344822
320	0.3588125714
321	0.3587914468
322	0.3587820055
323	0.3587035108
324	0.3586972558
325	0.3586801793
326	0.3586590486
327	0.3585720353
328	0.3585545775
329	0.3584801752
330	0.3583643548
331	0.3583096712
332	0.3583074435
333	0.3582665638
334	0.3581794478
335	0.3580222191
336	0.3580201081
337	0.357918123
338	0.3578949163
339	0.3578013083
340	0.3577997532
341	0.357685955
342	0.3575893659
343	0.3574647642
344	0.3574417323
345	0.357385841
346	0.3573140807
347	0.3572939118
348	0.3572385685
349	0.3572129743
350	0.3572102589
351	0.3570857558
352	0.3570822656
353	0.3570804977
354	0.3569691126
355	0.3568781417
356	0.3567940141
357	0.3567810276
358	0.3567733256
359	0.3567713927
360	0.3567053538
361	0.3567014895
362	0.3566678254
363	0.3566603069
364	0.3565042893
365	0.3564971928
366	0.3563910982
367	0.3562395984
368	0.3560779206
369	0.3560761517
370	0.356002947
371	0.3559884819
372	0.3559872222
373	0.3559838868
374	0.3559345744
375	0.3558480989
376	0.3557878583
377	0.3555867575
378	0.3554368352
379	0.3553998905
380	0.3553667491
381	0.3552676727
382	0.3552285723
383	0.3551597388
384	0.3551050421
385	0.3550303201
386	0.3550149334
387	0.3550138446
388	0.3549827816
389	0.3549267016
390	0.3548816335
391	0.3548668054
392	0.3548093441
393	0.3547463996
394	0.3546558633
395	0.3546501978
396	0.3545938902
397	0.3545049724
398	0.3544011903
399	0.354265914
400	0.3542150186
401	0.3542017387
402	0.3542000937
403	0.3541324931
404	0.3540502818
405	0.3540488646
406	0.3539713507
407	0.3539084543
408	0.353855268
409	0.3538107553
410	0.3537636417
411	0.3537200933
412	0.3536345807
413	0.3535465629
414	0.35350577
415	0.3534598678
416	0.3534412888
417	0.3534314514
418	0.3533714473
419	0.3532883745
420	0.3532871339
421	0.3532444861
422	0.3532241878
423	0.3531595296
424	0.353120259
425	0.3531027444
426	0.3530137421
427	0.3529648665
428	0.3528687488
429	0.3528243235
430	0.3528158448
431	0.3527869127
432	0.3527790877
433	0.3527347844
434	0.3527271309
435	0.3526559267
436	0.3525961052
437	0.3525809955
438	0.35256849
439	0.3524554525
440	0.3523622331
441	0.3523154993
442	0.3522399005
443	0.3521936972
444	0.3521752126
445	0.3520210615
446	0.35191816
447	0.3518861903
448	0.3518482318
449	0.3518060766
450	0.3517243838
451	0.3517215362
452	0.3517183848
453	0.351643847
454	0.3516151909
455	0.3515470031
456	0.3514962415
457	0.3514953164
458	0.3514716437
459	0.3513844171
460	0.3513686648
461	0.3513629171
462	0.3513000563
463	0.3512384719
464	0.3510961878
465	0.351045587
466	0.3509778694
467	0.3509006933
468	0.3508689692
469	0.3508655026
470	0.3507714203
471	0.3507298674
472	0.3506473563
473	0.3505882134
474	0.3505874046
475	0.3505302747
476	0.3504654595
477	0.3503688728
478	0.3503632499
479	0.3502902586
480	0.3502474423
481	0.3501782622
482	0.3501556677
483	0.3501239797
484	0.3500119546
485	0.3499850287
486	0.3499257036
487	0.3498923171
488	0.3498749205
489	0.3498413026
490	0.3497880297
491	0.3497573572
492	0.3497205414
493	0.349653435
494	0.3495902354
495	0.3495433904
496	0.3495083744
497	0.3494813199
498	0.3494571963
499	0.3493839441
500	0.349336576
501	0.3493141907
502	0.349244434
503	0.3491280197
504	0.349119059
505	0.3490557233
506	0.3490236707
507	0.3489584436
508	0.3488951881
509	0.3488257801
510	0.3487881159
511	0.3487832447
512	0.348731113
513	0.3487062072
514	0.3486901108
515	0.3486473479
516	0.3486033822
517	0.3485925945
518	0.3485902642
519	0.3485663381
520	0.3485306445
521	0.3485165552
522	0.3484505747
523	0.3483949908
524	0.3483513178
525	0.3483260245
526	0.3482901755
527	0.3482723407
528	0.3482218828
529	0.3482107486
530	0.3481796085
531	0.3481224039
532	0.3480627885
533	0.3480075882
534	0.3479813623
535	0.3479590981
536	0.3479586413
537	0.3479434214
538	0.3479300883
539	0.3479281247
540	0.3478541633
541	0.3478043606
542	0.3477168252
543	0.3476948893
544	0.3476506693
545	0.3476488235
546	0.3476339292
547	0.3475355575
548	0.3474971959
549	0.3474563305
550	0.3473844404
551	0.3473703373
552	0.3473280976
553	0.3472551312
554	0.3472187564
555	0.3471724996
556	0.3471529359
557	0.3471440039
558	0.3471130801
559	0.3471125529
560	0.3471108184
561	0.3470393021
562	0.3470015888
563	0.3469670433
564	0.3469561602
565	0.3469092376
566	0.3468933393
567	0.3468481307
568	0.3467449929
569	0.3467340252
570	0.3467321396
571	0.3466560995
572	0.3465763163
573	0.3465068745
574	0.3464740828
575	0.3464165459
576	0.3463435783
577	0.3462976945
578	0.3462972964
579	0.3462763601
580	0.3462228748
581	0.3461475081
582	0.3461237805
583	0.3460589987
584	0.3460151941
585	0.3459444746
586	0.3459294451
587	0.3458315468
588	0.3457803309
589	0.3457350284
590	0.3457101466
591	0.3456701527
592	0.3455906295
593	0.3455380336
594	0.3455104325
595	0.3454427642
596	0.3454229745
597	0.3454065193
598	0.3453777266
599	0.3453434241
600	0.3453173196
601	0.3452508369
602	0.3451559554
603	0.3451327486
604	0.3450622746
605	0.3450430741
606	0.3450333278
607	0.3449844289
608	0.3449197099
609	0.3448181243
610	0.3447716098
611	0.3447216548
612	0.3446573237
613	0.3446107574
614	0.3445259209
615	0.3445018575
616	0.3444779766
617	0.3444127182
618	0.3443698648
619	0.3443178823
620	0.3442504285
621	0.344174317
622	0.3440945257
623	0.3439916895
624	0.3439183809
625	0.3438978333
626	0.3438502508
627	0.3438292516
628	0.3438041422
629	0.3437214391
630	0.3437036056
631	0.3436703711
632	0.3435929193
633	0.3435169131
634	0.3434372915
635	0.3434108375
636	0.3434079176
637	0.3433988579
638	0.3433498561
639	0.3432939905
640	0.3432318365
641	0.3432149865
642	0.343140481
643	0.3430830664
644	0.3430694822
645	0.3430367522
646	0.3430332696
647	0.3429939269
648	0.3429425031
649	0.3428886398
650	0.3428431796
651	0.3428176366
652	0.3427962461
653	0.3427738046
654	0.342730035
655	0.3427044371
656	0.3426865475
657	0.3426177753
658	0.3425546274
659	0.3425356149
660	0.3424633065
661	0.3424239282
662	0.3423733292
663	0.3423168254
664	0.3422742002
665	0.3422431865
666	0.3422209593
667	0.3421753554
668	0.3420999445
669	0.3420448069
670	0.3419638107
671	0.3419254408
672	0.3419107187
673	0.3419045326
674	0.3419029868
675	0.3418773536
676	0.3418287517
677	0.341816091
678	0.3418104925
679	0.3417599019
680	0.3417139294
681	0.3416760388
682	0.3416558229
683	0.341639962
684	0.3415455217
685	0.3415377647
686	0.341515031
687	0.3414888407
688	0.341480116
689	0.3414611048
690	0.3414302631
691	0.3414218513
692	0.3414107382
693	0.3413866713
694	0.3413352949
695	0.3413210704
696	0.3413072421
697	0.3412963201
698	0.3412733818
699	0.3412396125
700	0.3412118563
701	0.3411770719
702	0.3411755833
703	0.3411179063
704	0.3411072111
705	0.341053215
706	0.3410346947
707	0.3410061474
708	0.3409901015
709	0.3408960603
710	0.3408653554
711	0.3407839435
712	0.3407321294
713	0.3407110417
714	0.34068087
715	0.3406696887
716	0.340650926
717	0.3406051432
718	0.3405868942
719	0.3405367685
720	0.3404714007
721	0.3404083095
722	0.3403520113
