calculated_host_listings_count,host_response_time,host_response_rate(%),host_acceptance_rate(%),host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,dist_from_center(km),room_type,accommodates,bedrooms,beds,bathrooms,amenities_count,price($),minimum_nights_cleansed,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,last_review,days_since_last_review,estimated_occupancy
1,within a few hours,100.0,60.0,f,t,Washington Heights,Manhattan,40.85191,-73.93924,11.144613014046598,Private room,1,1.0,1.0,1.0,12,24.0,30,60,127,7,0.06,4.86,4.67,5.0,2023-08-31,549.0,0.05999999999999999
1,,,92.0,t,t,Washington Heights,Manhattan,40.85143,-73.94203,11.014406177959486,Private room,1,1.0,1.0,1.0,29,19.0,30,180,238,46,0.51,4.35,3.98,4.72,2025-01-12,49.0,1.0
3,within an hour,100.0,32.0,t,t,East Elmhurst,Queens,40.76088,-73.86886,9.829284358203429,Private room,4,1.0,2.0,1.0,26,29.0,30,180,270,103,1.37,4.65,4.57,4.91,2025-01-11,50.0,1.0
1,,,100.0,t,t,Jackson Heights,Queens,40.75339073199784,-73.8821157563665,8.723153446376354,Private room,1,1.0,1.0,1.0,40,29.0,30,365,169,7,0.22,4.86,4.43,5.0,2025-01-14,47.0,0.22
3,within an hour,100.0,97.0,t,t,Jamaica,Queens,40.67194,-73.77711,20.001260896359042,Private room,2,1.0,0.0,1.0,42,20.0,1,90,0,163,2.52,4.78,4.88,4.89,2025-02-28,2.0,0.084
254,within an hour,100.0,88.0,f,t,Jackson Heights,Queens,40.75292,-73.87677,9.175794098023792,Private room,1,1.0,1.0,1.0,13,27.0,30,1125,46,7,0.13,4.29,4.29,4.57,2024-02-01,395.0,0.13
1,within a few hours,100.0,40.0,f,t,Flatbush,Brooklyn,40.65327,-73.96133,11.822337424564896,Private room,1,2.0,1.0,1.5,29,24.0,30,90,200,2,0.08,5.0,5.0,5.0,2023-07-05,606.0,0.08
231,within an hour,99.0,82.0,f,t,Jackson Heights,Queens,40.75217,-73.87831,9.051969485377576,Private room,1,1.0,1.0,1.0,15,27.0,30,1125,54,5,0.12,4.2,4.2,4.4,2024-08-09,205.0,0.11999999999999998
6,within an hour,100.0,33.0,t,t,East Elmhurst,Queens,40.76338,-73.87012,9.736155487133168,Private room,8,2.0,5.0,1.0,25,26.0,30,180,178,33,0.76,4.52,4.48,4.67,2025-01-26,35.0,0.76
30,within a few hours,100.0,86.0,f,t,Bushwick,Brooklyn,40.69988,-73.93882,7.56557902595918,Private room,1,1.0,2.0,2.0,37,28.0,30,365,135,2,0.11,4.0,3.5,3.0,2024-10-25,128.0,0.11
254,within an hour,100.0,88.0,f,t,Jackson Heights,Queens,40.7515,-73.87841,9.049258849981962,Private room,1,1.0,1.0,1.0,14,29.0,30,1125,58,1,0.05,5.0,5.0,5.0,2023-07-01,610.0,0.05
231,within an hour,99.0,82.0,f,t,Jackson Heights,Queens,40.75102,-73.87833,9.060424341183547,Private room,1,1.0,1.0,1.0,14,29.0,30,1125,58,2,0.09,4.0,4.5,4.0,2023-09-29,520.0,0.09
231,within an hour,99.0,82.0,f,t,Jackson Heights,Queens,40.75292,-73.87764,9.102653613187686,Private room,2,1.0,1.0,1.0,15,28.0,30,1125,58,1,0.22,5.0,5.0,5.0,2024-10-18,135.0,0.22
3,within an hour,100.0,70.0,f,t,Kingsbridge,Bronx,40.86519,-73.90404,13.749986982950968,Private room,1,1.0,1.0,1.0,8,23.0,30,180,59,9,0.33,4.89,4.67,4.89,2023-07-20,591.0,0.33
7,within an hour,99.0,94.0,,t,Chinatown,Manhattan,40.71388,-73.99439,4.962777904211901,Private room,2,1.0,1.0,1.0,18,7.0,1,1125,128,58,3.73,4.48,4.19,4.86,2025-02-09,21.0,0.12433333333333334
26,within an hour,100.0,99.0,f,t,East Harlem,Manhattan,40.80924,-73.93715,7.00247470100016,Private room,1,1.0,1.0,1.0,36,27.0,30,365,347,1,0.24,2.0,1.0,4.0,2024-10-31,122.0,0.23999999999999996
617,within an hour,99.0,24.0,f,t,Gravesend,Brooklyn,40.59118591625784,-73.9704651871619,18.592190182113463,Private room,1,1.0,1.0,1.0,9,27.0,30,365,336,1,0.25,5.0,5.0,5.0,2024-11-02,120.0,0.25
