calculated_host_listings_count,host_response_time,host_response_rate(%),host_acceptance_rate(%),host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,dist_from_center(km),room_type,accommodates,bedrooms,beds,bathrooms,amenities_count,price($),minimum_nights_cleansed,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_communication,last_review,days_since_last_review,estimated_occupancy
1,,,,f,t,Sea Gate,Brooklyn,40.57601,-74.01072,20.347879769182295,Entire home/apt,16,14.0,42.0,15.5,33,2029.0,30,30,179,13,0.14,4.77,4.54,4.85,2023-09-04,545.0,0.14
1,within an hour,100.0,100.0,f,t,East Village,Manhattan,40.7261,-73.97964,3.5813143597320765,Entire home/apt,8,4.0,5.0,3.5,61,1069.0,30,90,362,119,0.92,4.96,4.82,4.99,2024-07-13,232.0,0.92
1,,,,f,t,Tribeca,Manhattan,40.71922,-74.00276,4.550742745653081,Entire home/apt,4,2.0,2.0,2.0,36,1162.0,30,40,358,141,1.1,4.95,4.99,4.99,2023-12-06,452.0,1.0
1,within an hour,100.0,,f,f,Upper West Side,Manhattan,40.79227,-73.96557,4.163833803318966,Entire home/apt,5,2.0,2.0,3.5,31,1200.0,30,90,236,11,0.1,5.0,4.91,5.0,2023-08-13,567.0,0.1
1,,,,f,t,Lower East Side,Manhattan,40.71396,-73.98924,4.9071593734448165,Entire home/apt,2,1.0,2.0,2.0,56,1200.0,30,1125,89,32,0.28,5.0,5.0,5.0,2023-08-02,578.0,0.2893333333333334
1,within a day,100.0,35.0,f,t,Midtown,Manhattan,40.76556,-73.98182,0.8959515091081643,Entire home/apt,4,1.0,2.0,2.5,22,1316.0,1,7,364,9,0.09,5.0,5.0,4.89,2024-10-16,137.0,0.003
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76183,-73.97341,1.1037501874932418,Private room,6,2.0,3.0,2.0,32,2699.0,1,30,364,11,0.14,5.0,5.0,5.0,2024-11-03,119.0,0.004666666666666667
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76239,-73.97498,1.0116117896698087,Private room,4,1.0,2.0,1.0,31,1599.0,1,30,365,36,0.36,5.0,4.97,5.0,2024-12-08,84.0,0.012
1,within a day,100.0,,f,t,East Village,Manhattan,40.72198,-73.98404,4.0071351538913875,Entire home/apt,5,2.0,2.0,2.0,27,1211.0,30,90,269,23,0.32,4.48,4.48,4.57,2023-04-24,678.0,0.32
1,within an hour,100.0,98.0,t,t,Harlem,Manhattan,40.80752,-73.95279,6.156705138504202,Entire home/apt,8,5.0,4.0,3.5,69,1350.0,30,75,149,28,0.35,5.0,4.96,5.0,2023-08-27,553.0,0.35
1,within an hour,100.0,100.0,t,t,Midtown,Manhattan,40.76134310646883,-73.97905576220876,0.6578639398322872,Entire home/apt,6,2.0,2.0,2.0,59,1099.0,3,5,8,7,0.09,5.0,5.0,5.0,2025-01-03,58.0,0.009000000000000001
1,within a day,100.0,0.0,f,t,SoHo,Manhattan,40.7240392,-74.002914,4.051253594462763,Entire home/apt,6,3.0,3.0,2.0,52,1114.0,30,1125,281,196,2.51,4.98,4.94,4.97,2024-06-03,272.0,1.0
1,within an hour,100.0,100.0,f,t,SoHo,Manhattan,40.72054,-74.00198,4.390683710525118,Entire home/apt,5,2.0,2.0,1.0,79,1014.0,30,90,268,109,1.4,4.95,4.91,4.98,2024-11-05,117.0,1.0
1,within a few hours,100.0,80.0,f,t,Greenpoint,Brooklyn,40.72639,-73.94652,4.810277469868557,Entire home/apt,7,4.0,6.0,3.5,61,1491.0,30,1125,178,19,0.3,4.74,4.58,4.68,2023-10-22,497.0,0.3
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76217,-73.97349,1.1127503491813389,Private room,2,1.0,1.0,1.0,26,1199.0,1,30,365,6,0.09,5.0,5.0,5.0,2024-09-25,158.0,0.003
6,within an hour,100.0,31.0,t,t,Midtown,Manhattan,40.76212,-73.97377,1.089006483034925,Private room,6,2.0,3.0,2.0,31,2699.0,1,30,353,20,0.31,5.0,5.0,5.0,2024-12-15,77.0,0.010333333333333333
1,within a day,100.0,,f,t,Clinton Hill,Brooklyn,40.68447,-73.96801,8.307969426092065,Entire home/apt,6,3.0,3.0,3.5,36,1076.0,30,60,125,10,0.14,5.0,5.0,5.0,2023-08-21,559.0,0.14
4,within an hour,100.0,64.0,f,t,Midtown,Manhattan,40.76259,-73.97507,1.0159661084058662,Private room,4,1.0,2.0,2.0,59,1418.0,1,1125,361,13,0.2,4.92,5.0,4.92,2024-01-01,426.0,0.006666666666666667
17,within an hour,100.0,98.0,f,t,Midtown,Manhattan,40.76436,-73.97562,1.0920473564157165,Entire home/apt,5,2.0,2.0,2.0,46,1500.0,7,28,336,1,0.07,5.0,4.0,5.0,2024-01-03,424.0,0.016333333333333335
1,within a day,67.0,57.0,f,f,Greenpoint,Brooklyn,40.72749,-73.95069,4.4843927223199485,Entire home/apt,6,5.0,4.0,4.5,46,1500.0,30,1125,88,8,0.17,4.63,4.75,4.88,2023-08-20,560.0,0.17
1,within an hour,100.0,100.0,t,t,Hell's Kitchen,Manhattan,40.76052,-73.99645,0.9639006501120464,Entire home/apt,6,2.0,4.0,2.0,42,1311.0,30,1125,201,179,2.94,4.98,4.94,5.0,2025-01-04,57.0,1.0
1,within an hour,100.0,100.0,,t,Upper East Side,Manhattan,40.77713,-73.95536,3.3117242471933923,Entire home/apt,13,8.0,11.0,7.0,91,2124.0,3,1125,249,88,1.78,4.88,4.78,4.97,2025-02-06,24.0,0.178
4,within an hour,100.0,88.0,t,t,Kensington,Brooklyn,40.64596,-73.97462,12.492011472929079,Private room,10,5.0,6.0,2.5,72,1706.0,30,1125,362,15,0.34,5.0,5.0,5.0,2023-08-14,566.0,0.34
2,,,,f,t,Chelsea,Manhattan,40.74637,-73.99233,1.4154009640705165,Entire home/apt,2,0.0,1.0,1.0,29,1048.0,30,365,365,45,0.94,4.96,4.93,4.96,2023-07-25,586.0,0.94
1,a few days or more,0.0,0.0,f,t,Flatiron District,Manhattan,40.7419,-73.98887,1.8126086940573194,Entire home/apt,6,3.0,3.0,3.0,16,1402.0,30,1125,268,8,0.2,4.25,4.13,3.5,2023-07-31,580.0,0.2
1,,,,f,f,Hell's Kitchen,Manhattan,40.75555,-73.99227,0.6319643705662402,Entire home/apt,2,1.0,1.0,1.0,21,1500.0,30,360,365,147,3.07,4.71,4.8,4.8,2023-09-26,523.0,1.0
